area,state_code,district_code,year,population,muslims,muslim_percent,women,muslim_women,source_id,input_file
District - Goalpara,18,302,2011,1008183,579929,57.5222,494891,283270,IND_C01,india-c01-18.xls
District - Barpeta,18,303,2011,1693622,1198036,70.7381,826618,581360,IND_C01,india-c01-18.xls
District - Morigaon,18,304,2011,957423,503257,52.5637,470772,246171,IND_C01,india-c01-18.xls
District - Nagaon,18,305,2011,2823768,1563203,55.3588,1384656,765909,IND_C01,india-c01-18.xls
District - Sonitpur,18,306,2011,1924110,350536,18.2181,940206,171464,IND_C01,india-c01-18.xls
District - Lakhimpur,18,307,2011,1042137,193476,18.5653,512463,95175,IND_C01,india-c01-18.xls
District - Dhemaji,18,308,2011,686133,13475,1.9639,334884,6462,IND_C01,india-c01-18.xls
District - Tinsukia,18,309,2011,1327929,48373,3.6427,647698,23009,IND_C01,india-c01-18.xls
District - Dibrugarh,18,310,2011,1326335,64526,4.865,649901,31583,IND_C01,india-c01-18.xls
District - Sivasagar,18,311,2011,1151050,95553,8.3014,561834,46721,IND_C01,india-c01-18.xls
District - Jorhat,18,312,2011,1092256,54684,5.0065,535451,26733,IND_C01,india-c01-18.xls
District - Golaghat,18,313,2011,1066888,90312,8.465,523727,44298,IND_C01,india-c01-18.xls
District - Karbi Anglong,18,314,2011,956313,20290,2.1217,466146,9717,IND_C01,india-c01-18.xls
District - Dima Hasao,18,315,2011,214102,4358,2.0355,103300,1943,IND_C01,india-c01-18.xls
District - Cachar,18,316,2011,1736617,654816,37.7064,850333,321533,IND_C01,india-c01-18.xls
District - Karimganj,18,317,2011,1228686,692489,56.3601,602822,341228,IND_C01,india-c01-18.xls
District - Hailakandi,18,318,2011,659296,397653,60.3148,321406,193232,IND_C01,india-c01-18.xls
District - Bongaigaon,18,319,2011,738804,371033,50.2208,362986,180360,IND_C01,india-c01-18.xls
District - Chirang,18,320,2011,482162,109248,22.6579,237302,53626,IND_C01,india-c01-18.xls
District - Kamrup,18,321,2011,1517542,601784,39.6552,739081,292443,IND_C01,india-c01-18.xls
District - Kamrup Metropolitan,18,322,2011,1253938,151071,12.0477,606353,72682,IND_C01,india-c01-18.xls
District - Nalbari,18,323,2011,771639,277488,35.9609,375633,134465,IND_C01,india-c01-18.xls
District - Baksa,18,324,2011,950075,135750,14.2883,468745,66102,IND_C01,india-c01-18.xls
District - Darrang,18,325,2011,928500,597392,64.3395,453227,292107,IND_C01,india-c01-18.xls
District - Udalguri,18,326,2011,831668,105319,12.6636,410051,51667,IND_C01,india-c01-18.xls
State - WEST BENGAL,19,000,2011,91276115,24654825,27.0113,44467088,12014733,IND_C01,india-c01.xls
District - Darjiling,19,327,2011,1846823,105086,5.6901,909564,50402,IND_C01,india-c01-19.xls
District - Jalpaiguri,19,328,2011,3872846,445817,11.5114,1889782,217808,IND_C01,india-c01-19.xls
District - Koch Bihar,19,329,2011,2819086,720033,25.5414,1367544,350650,IND_C01,india-c01-19.xls
District - Uttar Dinajpur,19,330,2011,3007134,1501170,49.9203,1456068,729972,IND_C01,india-c01-19.xls
District - Dakshin Dinajpur,19,331,2011,1676276,412788,24.6253,819077,201438,IND_C01,india-c01-19.xls
District - Maldah,19,332,2011,3988845,2045151,51.2718,1937304,997513,IND_C01,india-c01-19.xls
